x,y,label
52.89,56.93,1
56.75,60.56,1
58.35,62.91,1
52.13,60.34,1
56.91,51.79,1
54.25,64.63,1
52.58,66.05,1
51.2,61.14,1
58.67,54.14,1
56.48,63.96,1
59.85,59.08,1
53.73,58.84,1
58.8,69.06,1
56.17,64.59,1
53.96,56.33,1
62.75,65.18,1
58.56,62.79,1
54.71,58.12,1
54.66,56.78,1
56.65,59.56,1
54.18,61.39,1
64.27,63.35,1
39.65,9.84,0
52.23,11.28,0
47.56,13.28,0
58.01,17.47,0
66.02,23.92,0
53.38,22.24,0
51.02,11.62,0
58.87,15.48,0
47.93,17.76,0
54.79,17.54,0
51.73,23.55,0
51.16,18.74,0
52.74,9.11,0
45.6,11.03,0
58.95,14.75,0
50.14,20.93,0
48.3,15.73,0
53.6,11.75,0
58.19,16.71,0
57.17,6.33,0
53.45,27.94,0
57.72,18.58,0
51.66,18.02,0
56.05,10.62,0
47.57,14.6,0
49.53,13.23,0
50.7,19.86,0
51.07,6.55,0
51.5,13.53,0
51.07,10.49,0
56.93,12.88,0
44.98,10.25,0
65.67,17.42,0
60.72,17.87,0
54.95,-1.25,0
61.37,22.26,0
53.88,6.13,0
55.75,21.91,0
58.32,13.97,0
52.62,15.02,0
48.56,4.38,0
50.73,13.48,0
47.4,15.4,0
43.95,6.58,0
61.79,24.03,0
59.1,16.04,0
46.84,17.26,0
52.91,17.22,0
52.28,12.87,0
55.15,18.38,0
51.01,5.74,0
47.72,18.67,0
46.18,22.56,0
55.3,18.46,0
48.39,15.04,0
49.21,23.8,0
56.76,19.04,0
41.04,12.48,0
47.16,16.21,0
55.99,25.77,0
58.52,14.01,0
55.15,15.56,0
48.56,18.86,0
55.7,16.74,0
59.83,11.26,0
58.19,16.28,0
51.6,13.44,0
45.63,20.91,0
60.48,10.32,0
59.52,10.91,0
51.68,11.98,0
47.85,8.0,0
51.58,6.49,0
59.2,16.67,0
53.9,15.79,0
58.11,9.17,0
51.03,13.39,0
64.7,8.48,0
45.07,11.04,0
49.92,14.44,0
56.72,14.4,0
45.7,17.08,0
57.65,9.94,0
62.12,14.84,0
60.97,8.13,0
50.13,20.48,0
48.77,14.7,0
49.06,15.97,0
54.22,9.6,0
66.86,9.29,0
51.23,8.82,0
56.57,11.56,0
50.73,11.83,0
55.57,15.71,0
46.13,17.4,0
47.86,21.82,0
62.45,13.02,0
49.06,8.59,0
49.11,17.01,0
52.58,20.75,0
